This is sample data with 3 free parameters.
FIT par3
LOWER_LIMITS  14.1 0.6 2.20
UPPER_LIMITS  14.3 1.4 2.35
PLOT 2d
DATA_TYPE chisq
x y z value
14.24 0.4 2.15  4109.434532
14.24 0.4 2.2  3634.575478
14.24 0.4 2.23  3577.146459
14.24 0.4 2.24  3477.758313
14.24 0.4 2.25  3282.928057
14.24 0.4 2.26  3457.539215
14.24 0.4 2.27  2871.235049
14.24 0.4 2.28  3111.973252
14.24 0.4 2.29  2997.010321
14.24 0.4 2.3  3153.274357
14.24 0.4 2.35  3048.025256
14.24 0.4 2.4  2470.395601
14.24 0.6 2.15  2626.019949
14.24 0.6 2.2  1971.215472
14.24 0.6 2.23  1741.250451
14.24 0.6 2.24  1994.882669
14.24 0.6 2.25  1722.453456
14.24 0.6 2.26  1609.751526
14.24 0.6 2.27  1707.263378
14.24 0.6 2.28  1868.115587
14.24 0.6 2.29  1570.848920
14.24 0.6 2.3  1334.624470
14.24 0.6 2.35  1427.439475
14.24 0.6 2.4  1730.136820
14.24 0.7 2.15  1865.941843
14.24 0.7 2.2  1268.540236
14.24 0.7 2.23  1299.451930
14.24 0.7 2.24  1113.330436
14.24 0.7 2.25  1170.976569
14.24 0.7 2.26  1067.056964
14.24 0.7 2.27  1181.356140
14.24 0.7 2.28  1217.246318
14.24 0.7 2.29  1021.449420
14.24 0.7 2.3  918.504660
14.24 0.7 2.35  971.325551
14.24 0.7 2.4  967.241213
14.24 0.8 2.15  1245.594029
14.24 0.8 2.2  973.684437
14.24 0.8 2.23  903.490788
14.24 0.8 2.24  662.005499
14.24 0.8 2.25  722.958134
14.24 0.8 2.26  662.399400
14.24 0.8 2.27  938.602137
14.24 0.8 2.28  916.013333
14.24 0.8 2.29  713.063084
14.24 0.8 2.3  808.122576
14.24 0.8 2.35  724.862855
14.24 0.8 2.4  976.709504
14.24 1.0 2.15  533.920285
14.24 1.0 2.2  477.605708
14.24 1.0 2.23  417.226023
14.24 1.0 2.24  515.565785
14.24 1.0 2.25  427.602231
14.24 1.0 2.26  357.022316
14.24 1.0 2.27  442.081576
14.24 1.0 2.28  549.107930
14.24 1.0 2.29  466.830213
14.24 1.0 2.3  567.010165
14.24 1.0 2.35  621.973460
14.24 1.0 2.4  1025.887090
14.24 1.3 2.15  734.696700
14.24 1.3 2.2  881.568895
14.24 1.3 2.23  1100.227051
14.24 1.3 2.24  1079.212193
14.24 1.3 2.25  1299.748268
14.24 1.3 2.26  1221.418914
14.24 1.3 2.27  1073.333481
14.24 1.3 2.28  1334.874492
14.24 1.3 2.29  1256.928461
14.24 1.3 2.3  1519.127577
14.24 1.3 2.35  1963.849349
14.24 1.3 2.4  2253.757472
14.3 0.2 2.15  6186.968389
14.3 0.2 2.2  5067.901448
14.3 0.2 2.23  5240.441039
14.3 0.2 2.24  5021.742536
14.3 0.2 2.25  5029.507946
14.3 0.2 2.26  4670.265838
14.3 0.2 2.27  4722.750088
14.3 0.2 2.28  5138.201984
14.3 0.2 2.29  4626.054621
14.3 0.2 2.3  4827.291114
14.3 0.2 2.35  4205.180089
14.3 0.2 2.4  4360.719670
14.3 0.4 2.15  4471.327235
14.3 0.4 2.2  3608.546357
14.3 0.4 2.23  3348.653558
14.3 0.4 2.24  3720.583863
14.3 0.4 2.25  3287.800255
14.3 0.4 2.26  3398.647417
14.3 0.4 2.27  3667.594134
14.3 0.4 2.28  3708.589975
14.3 0.4 2.29  3485.106739
14.3 0.4 2.3  3285.816209
14.3 0.4 2.35  3499.560690
14.3 0.4 2.4  3039.243097
14.3 0.6 2.15  2302.157807
14.3 0.6 2.2  2121.131651
14.3 0.6 2.23  2038.316944
14.3 0.6 2.24  2076.886908
14.3 0.6 2.25  1943.152700
14.3 0.6 2.26  1740.810274
14.3 0.6 2.27  2176.092775
14.3 0.6 2.28  1642.813967
14.3 0.6 2.29  1983.978972
14.3 0.6 2.3  1790.655552
14.3 0.6 2.35  2174.633723
14.3 0.6 2.4  1947.469348
14.3 0.7 2.15  1723.351531
14.3 0.7 2.2  1517.949500
14.3 0.7 2.23  1393.764105
14.3 0.7 2.24  1290.274518
14.3 0.7 2.25  1341.699451
14.3 0.7 2.26  1207.079949
14.3 0.7 2.27  1413.077120
14.3 0.7 2.28  1551.251847
14.3 0.7 2.29  1427.186726
14.3 0.7 2.3  1167.298541
14.3 0.7 2.35  1514.281621
14.3 0.7 2.4  1667.760709
14.3 0.8 2.15  1104.408271
14.3 0.8 2.2  970.075341
14.3 0.8 2.23  1084.740596
14.3 0.8 2.24  879.276823
14.3 0.8 2.25  816.860116
14.3 0.8 2.26  970.489019
14.3 0.8 2.27  869.503872
14.3 0.8 2.28  1009.169385
14.3 0.8 2.29  1037.995957
14.3 0.8 2.3  904.627082
14.3 0.8 2.35  1087.399285
14.3 0.8 2.4  1338.253858
14.3 1.0 2.15  678.568751
14.3 1.0 2.2  629.119780
14.3 1.0 2.23  632.968135
14.3 1.0 2.24  571.993518
14.3 1.0 2.25  639.433100
14.3 1.0 2.26  701.357673
14.3 1.0 2.27  740.838775
14.3 1.0 2.28  681.446763
14.3 1.0 2.29  792.466788
14.3 1.0 2.3  970.782581
14.3 1.0 2.35  929.392188
14.3 1.0 2.4  1540.387062
14.3 1.3 2.15  920.522412
14.3 1.3 2.2  1261.834177
14.3 1.3 2.23  1554.013075
14.3 1.3 2.24  1501.771775
14.3 1.3 2.25  1413.669498
14.3 1.3 2.26  1612.931561
14.3 1.3 2.27  1758.829200
14.3 1.3 2.28  1714.065609
14.3 1.3 2.29  1864.743568
14.3 1.3 2.3  1866.682282
14.3 1.3 2.35  2315.813576
14.3 1.3 2.4  3268.252291
14.35 0.2 2.15  5822.529929
14.35 0.2 2.2  5498.111309
14.35 0.2 2.23  5373.881742
14.35 0.2 2.24  5319.965225
14.35 0.2 2.25  4970.202458
14.35 0.2 2.26  5392.070829
14.35 0.2 2.27  4970.820426
14.35 0.2 2.28  4999.986127
14.35 0.2 2.29  5626.436544
14.35 0.2 2.3  4833.095414
14.35 0.2 2.35  4715.174715
14.35 0.2 2.4  4655.734010
14.35 0.4 2.15  4566.385763
14.35 0.4 2.2  4123.460549
14.35 0.4 2.23  3844.422769
14.35 0.4 2.24  3613.641885
14.35 0.4 2.25  3564.678881
14.35 0.4 2.26  3541.606390
14.35 0.4 2.27  3916.820833
14.35 0.4 2.28  3901.079620
14.35 0.4 2.29  3903.429329
14.35 0.4 2.3  3874.177007
14.35 0.4 2.35  3801.166831
14.35 0.4 2.4  3728.943608
14.35 0.6 2.15  2455.109631
14.35 0.6 2.2  2205.618590
14.35 0.6 2.23  2155.817350
14.35 0.6 2.24  2197.788390
14.35 0.6 2.25  2220.356353
14.35 0.6 2.26  2325.832974
14.35 0.6 2.27  2034.084164
14.35 0.6 2.28  2197.405225
14.35 0.6 2.29  2372.862523
14.35 0.6 2.3  2133.039840
14.35 0.6 2.35  2493.458642
14.35 0.6 2.4  2428.539619
14.35 0.7 2.15  1712.303524
14.35 0.7 2.2  1930.602080
14.35 0.7 2.23  1767.973454
14.35 0.7 2.24  1896.042304
14.35 0.7 2.25  1727.166543
14.35 0.7 2.26  1759.916524
14.35 0.7 2.27  1731.442647
14.35 0.7 2.28  1577.134183
14.35 0.7 2.29  1754.692703
14.35 0.7 2.3  1913.883977
14.35 0.7 2.35  1922.006357
14.35 0.7 2.4  2092.915733
14.35 0.8 2.15  1332.279147
14.35 0.8 2.2  1140.269209
14.35 0.8 2.23  1286.497603
14.35 0.8 2.24  1305.307803
14.35 0.8 2.25  1191.064619
14.35 0.8 2.26  1200.115209
14.35 0.8 2.27  1425.602176
14.35 0.8 2.28  1288.074168
14.35 0.8 2.29  1676.003812
14.35 0.8 2.3  1077.506268
14.35 0.8 2.35  1483.153360
14.35 0.8 2.4  2064.174325
14.35 1.0 2.15  660.347083
14.35 1.0 2.2  934.486286
14.35 1.0 2.23  965.633268
14.35 1.0 2.24  908.184464
14.35 1.0 2.25  1033.286276
14.35 1.0 2.26  1206.023258
14.35 1.0 2.27  1235.260885
14.35 1.0 2.28  1059.935821
14.35 1.0 2.29  1349.659269
14.35 1.0 2.3  1175.569419
14.35 1.0 2.35  1693.261146
14.35 1.0 2.4  1925.753962
14.35 1.3 2.15  1216.214462
14.35 1.3 2.2  1420.026379
14.35 1.3 2.23  1869.976823
14.35 1.3 2.24  1845.662542
14.35 1.3 2.25  1734.758561
14.35 1.3 2.26  1845.179839
14.35 1.3 2.27  2116.593276
14.35 1.3 2.28  2201.166586
14.35 1.3 2.29  2446.917923
14.35 1.3 2.3  2627.786867
14.35 1.3 2.35  3116.043248
14.35 1.3 2.4  3317.795471
